TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1760791794;10/18/2025 12:49:54 PM;16.45;16.9;76.76;984.5;4.32;194;0;
1760791857;10/18/2025 12:50:57 PM;16.48;16.9;76.54;984.5;4.68;171;0;
1760791920;10/18/2025 12:52:00 PM;16.56;16.9;76.58;984.5;3.96;191;0;
1760791982;10/18/2025 12:53:02 PM;16.64;16.9;76.43;984.4;12.24;173;0;
1760792045;10/18/2025 12:54:05 PM;16.77;16.9;75.94;984.4;5.76;165;0;
1760792108;10/18/2025 12:55:08 PM;16.84;16.9;75.94;984.4;7.2;177;0;
1760792170;10/18/2025 12:56:10 PM;16.94;16.9;75.39;984.5;5.04;170;0;
1760792233;10/18/2025 12:57:13 PM;17;16.9;75.46;984.4;5.76;179;0;
1760792296;10/18/2025 12:58:16 PM;17.02;16.9;75.46;984.4;12.24;173;0;
1760792359;10/18/2025 12:59:19 PM;17.02;16.9;75.29;984.5;3.96;188;0;
1760792421;10/18/2025 1:00:21 PM;17.05;16.9;75.5;984.5;5.04;190;0;
1760792484;10/18/2025 1:01:24 PM;17.05;16.9;75.33;984.4;4.32;184;0;
1760792547;10/18/2025 1:02:27 PM;17.1;16.9;75.28;984.5;6.84;174;0;
1760792609;10/18/2025 1:03:29 PM;17.09;17;75.56;984.4;11.16;172;0;
1760792672;10/18/2025 1:04:32 PM;17.17;17;75.06;984.5;3.24;197;0;
1760792735;10/18/2025 1:05:35 PM;17.18;17;75.14;984.5;6.12;181;0;
1760792797;10/18/2025 1:06:37 PM;17.15;17;75.29;984.6;4.68;199;0;
1760792860;10/18/2025 1:07:40 PM;17.24;17;75.18;984.5;7.2;179;0;
1760792923;10/18/2025 1:08:43 PM;17.27;17.1;75.22;984.5;9;179;0;
1760792985;10/18/2025 1:09:45 PM;17.36;17.1;74.88;984.5;6.12;175;0;
1760793048;10/18/2025 1:10:48 PM;17.34;17.1;74.89;984.4;6.84;170;0;
1760793109;10/18/2025 1:11:49 PM;17.36;17.2;74.94;984.5;3.96;175;0;
1760793174;10/18/2025 1:12:54 PM;17.4;17.2;74.74;984.4;5.4;170;0;
1760793236;10/18/2025 1:13:56 PM;17.46;17.3;74.79;984.5;7.2;170;0;
1760793299;10/18/2025 1:14:59 PM;17.42;17.3;74.9;984.6;3.6;183;0;
1760793362;10/18/2025 1:16:02 PM;17.48;17.4;74.89;984.5;7.92;165;0;
1760793424;10/18/2025 1:17:04 PM;17.52;17.5;74.77;984.5;3.6;180;0;
1760793487;10/18/2025 1:18:07 PM;17.55;17.5;74.86;984.5;4.68;190;0;
1760793550;10/18/2025 1:19:10 PM;17.57;17.6;74.53;984.5;7.92;159;0;
1760793612;10/18/2025 1:20:12 PM;17.63;17.7;74.77;984.5;5.76;190;0;
1760793675;10/18/2025 1:21:15 PM;17.68;17.7;74.58;984.5;9.72;173;0;
1760793738;10/18/2025 1:22:18 PM;17.74;17.8;74.32;984.5;5.76;174;0;
1760793800;10/18/2025 1:23:20 PM;17.86;17.9;74.38;984.5;6.48;177;0;
1760793863;10/18/2025 1:24:23 PM;17.93;17.9;73.91;984.6;5.04;167;0;
1760793926;10/18/2025 1:25:26 PM;18;18;73.85;984.5;7.2;176;0;
1760793989;10/18/2025 1:26:29 PM;18.08;18;73.92;984.4;8.28;178;0;
1760794051;10/18/2025 1:27:31 PM;18.15;18;73.33;984.4;5.04;171;0;
1760794114;10/18/2025 1:28:34 PM;18.31;18.1;73.67;984.4;4.68;189;0;
1760794175;10/18/2025 1:29:35 PM;18.4;18.2;73.01;984.4;7.2;180;0;
1760794239;10/18/2025 1:30:39 PM;18.62;18.3;72.36;984.4;8.64;149;0;
1760794302;10/18/2025 1:31:42 PM;18.56;18.3;72.51;984.4;6.48;175;0;
1760794365;10/18/2025 1:32:45 PM;18.6;18.3;72.39;984.4;8.28;157;0;
1760794427;10/18/2025 1:33:47 PM;18.7;18.4;72.58;984.4;5.76;180;0;
1760794490;10/18/2025 1:34:50 PM;18.84;18.4;72.22;984.3;10.08;169;0;
1760794553;10/18/2025 1:35:53 PM;18.92;18.5;71.9;984.4;3.6;195;0;
