NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;26;1:40.305;4;1:40.324;9;1:40.361;11;1:40.376;22;1:40.480;3;1:40.501;2;1:40.537;10;1:40.647;20;1:40.649;7;1:40.685;21;1:40.486;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;26;1:41.384;18;1:41.429;10;1:41.447;21;1:41.509;9;1:41.545;3;1:41.596;24;1:41.662;26;1:41.710;20;1:41.759;11;1:41.871;6;1:41.591;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;26;1:42.306;6;1:42.413;4;1:42.590;11;1:42.612;5;1:42.629;20;1:42.668;10;1:42.827;7;1:42.925;16;1:42.937;21;1:42.946;17;1:42.685;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;26;1:40.989;22;1:41.045;18;1:41.323;5;1:41.350;23;1:41.370;9;1:41.417;20;1:41.426;21;1:41.599;10;1:41.603;11;1:41.763;17;1:41.388;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;11;1:40.271;8;1:40.292;4;1:40.343;2;1:40.345;6;1:40.355;7;1:40.526;9;1:40.913;11;1:40.935;5;1:40.961;10;1:40.967;3;1:40.590;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;26;1:43.621;17;1:43.886;16;1:43.896;22;1:44.143;20;1:44.193;21;1:44.195;26;1:44.310;5;1:44.324;9;1:44.325;19;1:44.402;7;1:44.129;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;26;1:41.713;9;1:42.186;22;1:42.352;21;1:42.359;11;1:42.384;10;1:42.429;18;1:42.505;3;1:42.624;7;1:42.692;20;1:42.795;5;1:42.403;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;26;1:40.133;4;1:40.162;9;1:40.175;2;1:40.238;7;1:40.281;6;1:40.431;23;1:40.480;8;1:40.531;20;1:40.645;22;1:40.703;21;1:40.377;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;26;1:41.873;6;1:42.217;10;1:42.286;17;1:42.422;7;1:42.597;5;1:42.608;4;1:42.622;24;1:42.663;20;1:42.742;19;1:42.934;11;1:42.496;
20;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Ramon;Llano;26;1:45.118;23;1:45.493;19;1:45.674;22;1:45.894;18;1:45.905;8;1:45.995;7;1:46.014;24;1:46.073;21;1:46.075;26;1:46.075;20;1:45.831;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;26;1:40.814;6;1:40.872;21;1:40.891;7;1:40.994;5;1:41.024;22;1:41.047;18;1:41.192;8;1:41.293;10;1:41.418;20;1:41.550;9;1:41.109;
021;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Michael;Edwards;26;1:41.152;11;1:41.382;10;1:41.422;5;1:41.440;24;1:41.498;6;1:41.543;20;1:41.548;18;1:41.724;9;1:41.899;3;1:41.959;4;1:41.556;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;26;1:40.156;8;1:40.242;6;1:40.386;2;1:40.397;9;1:40.428;4;1:40.534;21;1:40.601;19;1:40.636;20;1:40.648;7;1:40.658;18;1:40.468;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;2;1:47.868;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;1:47.868;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;26;1:40.229;9;1:40.312;4;1:40.468;10;1:40.477;21;1:40.515;3;1:40.606;23;1:40.625;2;1:40.639;11;1:40.736;7;1:40.776;20;1:40.538;
47;TechSport;Toyota GR86;Am;Parker;DeLong;26;1:40.322;10;1:40.380;4;1:40.406;3;1:40.503;2;1:40.545;22;1:40.604;9;1:40.684;7;1:40.697;23;1:40.749;21;1:40.901;24;1:40.579;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;26;1:41.043;20;1:41.144;9;1:41.191;4;1:41.200;10;1:41.204;18;1:41.457;23;1:41.570;24;1:41.659;25;1:41.709;7;1:41.713;19;1:41.389;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;26;1:39.748;7;1:39.850;8;1:40.120;4;1:40.133;9;1:40.146;22;1:40.279;2;1:40.292;21;1:40.386;20;1:40.479;19;1:40.499;6;1:40.193;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;25;1:43.284;4;1:43.721;3;1:44.249;8;1:44.867;7;1:44.970;23;1:44.991;21;1:45.536;18;1:45.606;9;1:45.682;17;1:45.707;16;1:44.861;
61;Skip Barber Racing;Toyota GR86;Am;James;Klimas;26;1:41.811;6;1:41.857;22;1:42.089;24;1:42.090;17;1:42.100;5;1:42.187;10;1:42.193;21;1:42.199;23;1:42.245;20;1:42.352;4;1:42.112;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;19;1:40.040;6;1:40.212;4;1:40.260;8;1:40.289;9;1:40.477;2;1:40.516;7;1:40.627;11;1:40.856;3;1:40.932;10;1:41.413;5;1:40.562;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;13;1:41.547;3;1:42.039;7;1:42.129;9;1:42.147;11;1:42.153;6;1:42.527;5;1:42.590;10;1:42.659;4;1:45.052;2;1:55.307;8;1:43.815;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Henry;Drury;26;1:40.370;6;1:40.779;5;1:40.885;22;1:40.983;25;1:41.026;7;1:41.037;18;1:41.056;21;1:41.143;8;1:41.148;20;1:41.156;11;1:40.958;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;26;1:41.322;18;1:41.376;22;1:41.400;23;1:41.428;10;1:41.441;5;1:41.586;11;1:41.602;9;1:41.610;7;1:41.632;24;1:41.688;20;1:41.508;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;26;1:42.091;10;1:42.198;6;1:42.293;19;1:42.294;11;1:42.305;5;1:42.373;18;1:42.388;21;1:42.430;22;1:42.458;24;1:42.552;26;1:42.338;
98;TechSport;Toyota GR86;Am;Max;Schweid;26;1:40.062;10;1:40.279;9;1:40.297;2;1:40.367;11;1:40.390;4;1:40.451;3;1:40.456;22;1:40.538;24;1:40.569;23;1:40.618;21;1:40.402;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;26;1:41.405;24;1:41.445;11;1:41.474;18;1:41.482;20;1:41.582;9;1:41.631;23;1:41.641;10;1:41.643;5;1:41.749;6;1:41.775;17;1:41.582;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;26;1:40.717;23;1:40.728;22;1:40.745;21;1:40.820;3;1:40.924;9;1:40.946;24;1:41.006;11;1:41.011;6;1:41.056;4;1:41.103;10;1:40.905;
